"","Date","max","min","mean","sd"
"S2022-06-08.1",2022-06-08,0.876477523694988,0.15116029003453,0.606810974608346,0.187253321559332
"L2022-06-11",2022-06-11,0.884754412010805,0.14449488794795,0.604271046036035,0.184639143853881
"L2022-06-11.1",2022-06-11,0.906128957640823,0.0626477566355081,0.601260589136967,0.196924966635791
"L2022-06-12",2022-06-12,0.866945606694561,0.0857142857142857,0.569439759763833,0.18732111718301
"S2022-06-12",2022-06-12,0.869332033154559,0.0562632696390658,0.542462501421007,0.198644347550521
"S2022-06-13",2022-06-13,0.888261120989233,0.164394775279029,0.616989330147799,0.184637643603265
"S2022-06-15",2022-06-15,0.857735586383174,0.174981935382274,0.569958966403618,0.172685149283162
"S2022-06-18",2022-06-18,0.890468906570013,0.176236975394756,0.61739754684803,0.18252493060133
"S2022-06-23",2022-06-23,0.90260451736583,0.191608129633106,0.62734808648478,0.188570609584646
"S2022-06-25",2022-06-25,0.157159392461474,1.44913271838236e-05,0.0386249741677825,0.03364054913023
"L2022-06-27",2022-06-27,0.899662729302848,0.1040723913254,0.60977172922167,0.190524177935333
"L2022-06-27.1",2022-06-27,0.88584159558779,0.18542959972047,0.6130677144824,0.178722843912841
"S2022-06-27",2022-06-27,0.912670007158196,0.0471428571428571,0.625197516130071,0.196132118610927
"S2022-06-27.1",2022-06-27,0.889842558512624,0.191719646505233,0.623463471562087,0.179352767508883
"S2022-06-28",2022-06-28,0.910428931875526,0.0806818181818182,0.628554429354788,0.195730492814162
"S2022-06-28.1",2022-06-28,0.891926746488933,0.194708657447237,0.62617623809876,0.179601397236142
"L2022-06-29",2022-06-29,0.806998925897643,0.507974468155392,0.68212790252858,0.0753058839373328
"S2022-06-30",2022-06-30,0.904310344827586,0.121296813862493,0.627315746337329,0.192416308873014
"S2022-06-30.1",2022-06-30,0.887236534675043,0.214115984895269,0.62843170366296,0.178497239728471
"S2022-07-02",2022-07-02,0.915584415584416,0.141943734015345,0.636321849280957,0.192996035733552
"S2022-07-02.1",2022-07-02,0.897294542872531,0.218721968321615,0.635298185059941,0.178637165392461
"L2022-07-05",2022-07-05,0.901938645566486,0.18438303881043,0.625125232152886,0.184712442694495
"S2022-07-05",2022-07-05,0.905653352618451,0.217684069419203,0.643415089550204,0.18283180668153
"S2022-07-07",2022-07-07,0.891344788204054,0.140347430428382,0.595439172372934,0.188590969580813
"L2022-07-13",2022-07-13,0.914254871144015,0.210718423529823,0.652235679677291,0.184985957753258
